id,trigger,conditions,script,text,New Column,options,New Column 2,notes,Column
# return to Galatia Academy w/ Zal,,,,,"
",,,,
gaATGlastReturnStart1,OpenInteractionDialog,"$id == station_galatia_academy
$global.gaATG_foundZal score:2000
$global.gaATG_usedMagecGateToEscape",BeginConversation baird true true,"""Captain $playerName,"" Baird says. ""We observed your $shipOrFleet come through the Gate.""

""It was magnificent."" She takes a deep breath, looking up and away for a moment, then back to you. ""History has leapt forward for the first time in two hundred cycles.""

""Scylla,"" the provost says suddenly, ""She should hear this so she knows why I had to do all that I did. I'll link her in.""","
",gaATG_lastReturnIntroCoureuse:Continue,,,
gaATGlastReturnStart2,OpenInteractionDialog,"$id == station_galatia_academy
$global.gaATG_foundZal score:2000
!$global.gaATG_usedMagecGateToEscape",BeginConversation baird true true,"""Captain,"" Baird greets you, in her way. ""We've been hearing the strangest rumors over hypercomm,"" she says expectantly.","
",gaATG_lastReturnIntroCoureuse:Continue,,,
gaATGlastReturnIntroCoureuse,DialogOptionSelected,"$option == gaATG_lastReturnIntroCoureuse
#$global.gaATG_usedMagecGateToEscape","ShowSecondPerson coureuse
AdjustRepPerson coureuse COOPERATIVE 25","Coureuse joins the call, alert and expectant. 

""Captain!"" she says, ""And uh, provost. We've all been watching the feeds and- I've been in contact with Elissa. Thank you, thank you captain.""

The provost raises an eyebrow. Prompted, Coureuse explains ""Elissa built a working Janus device and gave it to the captain. She's brought us the full schematics.""

""I should like to meet this Elissa Zal,"" the provost says evenly. ","
",gaATG_lastReturnIntroZal:Continue,,,
gaATGlastReturnIntroZal,DialogOptionSelected,$option == gaATG_lastReturnIntroZal,ShowThirdPerson zal,"""Hello provost,"" Zal says, ""Finally we speak. I've heard so, so much about you.""

It is a small thing, but you watch as Baird suppresses first shock, then a flash of anger at her comms being joined without invitation.","
",gaATG_lastIntroInvite:Continue,,,
gaATGlastReturnIntroInvite,DialogOptionSelected,$option == gaATG_lastIntroInvite,,"""Elissa Zal,"" Baird says. You can almost feel her judging through the comm-link. ""This is all very... surprising,"" she says, off balance. ""Academician Coureuse. Zal. We have much to discuss, but first get those schematics to the hyperspace labs.""

""And captain,"" the provost addresses you now, ""If you would come directly to my office. We ought not discuss details of the next stage on comms.""","
",gaATG_lastReturnOffice1:Continue,,,
gaATGlastReturnOffice1,DialogOptionSelected,$option == gaATG_lastReturnOffice1,"HideSecondPerson
HideThirdPerson
EndConversation DO_NOT_FIRE
ShowDefaultVisual","You take your shuttle to the Galatia Academy. Elissa Zal sits across from you, smiling to herself.","
","gaATG_lastReturnVictory4:Say nothing
gaATG_lastReturnVictory2:""Planning something?""
gaATG_lastReturnVictory3:""Is it Coureuse?""",,,
gaATGlastReturnVictory2,DialogOptionSelected,$option == gaATG_lastReturnVictory2,,"Zal meets your eyes. ""Always,"" she says.","
",gaATG_lastReturnVictory4:Continue,,,
gaATGlastReturnVictory3,DialogOptionSelected,$option == gaATG_lastReturnVictory3,,Zal smiles while rolling her eyes at you.,"
",gaATG_lastReturnVictory4:Continue,,,
gaATGlastReturnVictory4,DialogOptionSelected,$option == gaATG_lastReturnVictory4,BeginConversation baird true true,"You enter Provost Baird's office and she greets you with uncharacteristic warmth.

""Come in, come in. Make yourself comfortable,"" she says. You note a bottle of something rare and four crystal glasses on her desk.

She taps at her console interface, ""I wanted to show you this before the announcement went public. With,"" she adds with sarcastic reverence, ""Approval from the High Hegemon.""

With a flicker, the holoprojector beams an image into the large central volume of the office: your flagship triumphantly exiting a Gate, drive aglow, hyperspace bubble rendered in visible EM as a victorious golden aura.","
",gaATG_lastReturnVictory5:Continue,,,
gaATGlastReturnVictory5,DialogOptionSelected,$option == gaATG_lastReturnVictory5,,"""And this little show is only the first step, captain. A link between two Gates is momentous, but it means that so much more is possible: if we can open one Gate, then we can scale the technology to open more. It will take nearly unimaginable energy - and the resources of a Sector-spanning empire.""

Baird brings her hands together, staring at the holo, and taps her fingers as if to let off excess energy. ""Though the factions of this Sector are weak, the bones of the Domain are scattered all around us. Academician Simisola has located a derelict coronal tap which could provide the energy required to - theoretically, mind - open permanent links in the Gate network. And if what Coureuse's theories imply are true..."" 

The provost's attention returns to the world around her. ""Where is Scylla? She was to report here after securing the schematics.""","
",gaATG_lastReturnWhereAreThey:Continue,,,
gaATGlastReturnWhereAreThey,DialogOptionSelected,$option == gaATG_lastReturnWhereAreThey,,"She taps a key on her desk-console, a touch of annoyance in her voice ""Sebestyen. Have Coureuse and- yes, and Zal. Have them sent in."" She shakes her head and gives you a see-what-we-must-deal-with look.

As she turns away, the comms unit chimes. She turns back, ""What is it, Alviss? ... Is she on the station or not? Stop stammering, it's a simple yes or no question. ... I see.""

She taps at the comms, the triumph draining from her expression.","
",gaATG_lastReturnWhereAreThey2:Continue,,,
